Semester,Course,Section,Instructor,Enrollment,Building,Room,Capacity,Priority,Days,Start Time,End Time,Utilization %
Fall 2026,110,1,Bean,101,TMCB,1170,203,1,"M,W",02:00 PM,03:15 PM,49.8%
Fall 2026,110,2,Page,101,CB,377,342,3,"M,W",11:00 AM,12:15 PM,29.5%
Fall 2026,110,3,"Dougal, Duane",100,TMCB,1170,203,1,"M,W",03:30 PM,04:45 PM,49.3%
Fall 2026,110,4,"Dougal, Duane",100,TMCB,1170,203,1,"T,Th",03:30 PM,04:45 PM,49.3%
Fall 2026,110,6,"Jones, Angela",100,TMCB,1170,203,1,"T,Th",09:30 AM,10:45 AM,49.3%
Fall 2026,111,1,Reynolds,108,CB,377,342,3,"M,W",03:30 PM,04:45 PM,31.6%
Fall 2026,111,2,Reynolds,108,CB,377,342,3,"M,W",12:30 PM,01:45 PM,31.6%
Fall 2026,111,3,Richardson,107,TMCB,1170,203,1,"T,Th",12:30 PM,01:45 PM,52.7%
Fall 2026,111,5,"Giles, Steven",107,TMCB,1170,203,1,"T,Th",02:00 PM,03:15 PM,52.7%
Fall 2026,191/291T,1,"Team:Zappala/Dougal, Duane",30,TMCB,134,42,1,"T,Th",02:00 PM,03:15 PM,71.4%
Fall 2026,224A,1,Barker,51,MARB,130,72,1,"M,W,F",11:00 AM,11:50 AM,70.8%
Fall 2026,224A,2,Barker,50,MARB,130,72,1,"M,W,F",12:00 PM,12:50 PM,69.4%
Fall 2026,235,1,Crandall,68,JKB,1102,285,2,"M,W",11:00 AM,12:15 PM,23.9%
Fall 2026,235,2,Crandall,68,JKB,1102,285,2,"M,W",12:30 PM,01:45 PM,23.9%
Fall 2026,235,3,Crandall,67,CB,377,342,3,"M,W",09:30 AM,10:45 AM,19.6%
Fall 2026,235,5,Stephens,67,JKB,3108,306,2,"M,W",02:00 PM,03:15 PM,21.9%
Fall 2026,236,1,Goodrich,65,TMCB,1170,203,1,"M,W,F",10:00 AM,10:50 AM,32.0%
Fall 2026,236,2,Goodrich,65,TMCB,1170,203,1,"M,W,F",11:00 AM,11:50 AM,32.0%
Fall 2026,236,3,Goodrich,65,TMCB,1170,203,1,"M,W,F",12:00 PM,12:50 PM,32.0%
Fall 2026,236,4,Mercer,64,TMCB,1170,203,1,"M,W,F",01:00 PM,01:50 PM,31.5%
Fall 2026,240,1,Jensen,54,CB,377,342,3,"M,W",02:00 PM,03:15 PM,15.8%
Fall 2026,240,2,Jensen,54,JKB,1102,285,2,"M,W",09:30 AM,10:45 AM,18.9%
Fall 2026,240,3,Wilkerson,53,JKB,1102,285,2,"M,W",03:30 PM,04:45 PM,18.6%
Fall 2026,252B,1,Barker,41,HBLL,3718,59,1,"M,W,F",10:00 AM,10:50 AM,69.5%
Fall 2026,252B,2,Barker,40,HBLL,3718,59,1,"M,W,F",09:00 AM,09:50 AM,67.8%
Fall 2026,256,1,Hughes,58,CB,377,342,3,"T,Th",12:30 PM,01:45 PM,17.0%
Fall 2026,260,1,Clement,30,HBLL,3718,59,1,"T,Th",09:30 AM,10:45 AM,50.8%
Fall 2026,260,2,Ventura,30,JKB,1102,285,2,"T,Th",02:00 PM,03:15 PM,10.5%
Fall 2026,270,1,MJ,57,HBLL,3718,59,1,"M,W",03:30 PM,04:45 PM,96.6%
Fall 2026,270,2,MJ,57,HBLL,3718,59,1,"T,Th",12:30 PM,01:45 PM,96.6%
Fall 2026,301R,1,Bean,5,TMCB,120,41,1,"M,W",09:30 AM,10:45 AM,12.2%
Fall 2026,301R,2,MJ,5,TMCB,120,41,1,"T,Th",02:00 PM,03:15 PM,12.2%
Fall 2026,301R,3,Stephens,5,TMCB,134,42,1,"M,W",11:00 AM,12:15 PM,11.9%
Fall 2026,312,1,Farrell,30,TMCB,134,42,1,"T,Th",12:30 PM,01:45 PM,71.4%
Fall 2026,312,2,Farrell,30,HBLL,3718,59,1,"T,Th",02:00 PM,03:15 PM,50.8%
Fall 2026,312B,1,Williams,25,HBLL,3718,59,1,"M,W,F",12:00 PM,12:50 PM,42.4%
Fall 2026,312B,2,Williams,25,MARB,130,72,1,"M,W,F",09:00 AM,09:50 AM,34.7%
Fall 2026,324,1,Seamons,56,HBLL,3718,59,1,"M,W,F",01:00 PM,01:50 PM,94.9%
Fall 2026,324,2,"Dougal, Duane",55,HBLL,3718,59,1,"M,W,F",11:00 AM,11:50 AM,93.2%
Fall 2026,329,1,Jensen,69,MARB,130,72,1,"T,Th",02:00 PM,03:15 PM,95.8%
Fall 2026,330,1,Germane,29,TMCB,120,41,1,"M,W",12:30 PM,01:45 PM,70.7%
Fall 2026,340,1,Rodham,51,JKB,3108,306,2,"T,Th",09:30 AM,10:45 AM,16.7%
Fall 2026,340,2,Rodham,50,MARB,130,72,1,"T,Th",12:30 PM,01:45 PM,69.4%
Fall 2026,340,3,Wilkerson,50,JKB,3108,306,2,"M,W",12:30 PM,01:45 PM,16.3%
Fall 2026,355,1,Egbert,50,JKB,1102,285,2,"T,Th",09:30 AM,10:45 AM,17.5%
Fall 2026,356,1,Jones MD,11,MARB,130,72,1,"M,W",03:30 PM,04:45 PM,15.3%
Fall 2026,393,1,Reynolds,49,JKB,1102,285,2,"T,Th",12:30 PM,01:45 PM,17.2%
Fall 2026,401R,1,Bean,16,JKB,3108,306,2,"T,Th",12:30 PM,01:45 PM,5.2%
Fall 2026,401R,2,Hughes,16,TMCB,134,42,1,"M,W",03:30 PM,04:45 PM,38.1%
Fall 2026,401R,3,Toborg,16,TMCB,120,41,1,"M,W",11:00 AM,12:15 PM,39.0%
Fall 2026,401RT,1,Team:Grimsman/Killian,30,CB,377,342,3,"T,Th",09:30 AM,10:45 AM,8.8%
Fall 2026,404,1,"Gates, Darin",41,TMCB,120,41,1,"M,W",02:00 PM,03:15 PM,100.0%
Fall 2026,404,2,"Gates, Darin",40,TMCB,120,41,1,"T,Th",03:30 PM,04:45 PM,97.6%
Fall 2026,405,1,"Earnshaw, Craig",18,TMCB,120,41,1,"M,W",03:30 PM,04:45 PM,43.9%
Fall 2026,418,1,Williams,70,MARB,130,72,1,"M,W,F",01:00 PM,01:50 PM,97.2%
Fall 2026,428,1,"Webster, Bruce",32,TMCB,1170,203,1,F,02:00 PM,04:30 PM,15.8%
Fall 2026,430,1,Germane,30,TMCB,120,41,1,"T,Th",12:30 PM,01:45 PM,73.2%
Fall 2026,452,1,Reynolds,47,JKB,3108,306,2,"M,W",11:00 AM,12:15 PM,15.4%
Fall 2026,452,2,Reynolds,47,JKB,3108,306,2,"T,Th",03:30 PM,04:45 PM,15.4%
Fall 2026,460,1,Deccio,37,MARB,130,72,1,"M,W,F",10:00 AM,10:50 AM,51.4%
Fall 2026,465,1,Zappala,50,JKB,1102,285,2,"M,W",02:00 PM,03:15 PM,17.5%
Fall 2026,470,1,Archibald,64,CB,377,342,3,"T,Th",03:30 PM,04:45 PM,18.7%
