Semester,Course,Section,Instructor,Enrollment,Building,Room,Capacity,Priority,Days,Start Time,End Time,Utilization %
Winter 2027,110,1,Bean,147,JKB,1102,285,2,"T,Th",12:30 PM,01:45 PM,51.6%
Winter 2027,110,2,"Dougal, Duane",147,TMCB,1170,203,1,"T,Th",02:00 PM,03:15 PM,72.4%
Winter 2027,110,4,"Jones, Angela",147,TMCB,1170,203,1,"T,Th",09:30 AM,10:45 AM,72.4%
Winter 2027,111,1,Richardson,144,JKB,1102,285,2,"T,Th",02:00 PM,03:15 PM,50.5%
Winter 2027,111,2,Stephens,143,JKB,1102,285,2,"M,W",09:30 AM,10:45 AM,50.2%
Winter 2027,111,4,"Giles, Steven",143,TMCB,1170,203,1,"T,Th",03:30 PM,04:45 PM,70.4%
Winter 2027,180,1,Ringger,59,JKB,1102,285,2,"M,W",11:00 AM,12:15 PM,20.7%
Winter 2027,180,2,Ringger,58,MARB,130,72,1,"M,W",12:30 PM,01:45 PM,80.6%
Winter 2027,191/291T,1,"Team:Zappala/Dougal, Duane",30,CB,377,342,3,"T,Th",03:30 PM,04:45 PM,8.8%
Winter 2027,224A,1,Mercer,70,JKB,3108,306,2,"M,W,F",11:00 AM,11:50 AM,22.9%
Winter 2027,224B,1,Archibald,30,CB,377,342,3,"T,Th",12:30 PM,01:45 PM,8.8%
Winter 2027,224B,2,Archibald,30,JKB,3108,306,2,"T,Th",02:00 PM,03:15 PM,9.8%
Winter 2027,235,2,MJ,68,MARB,130,72,1,"T,Th",12:30 PM,01:45 PM,94.4%
Winter 2027,235,3,MJ,68,MARB,130,72,1,"M,W",02:00 PM,03:15 PM,94.4%
Winter 2027,235,4,Stephens,67,JKB,3108,306,2,"M,W",03:30 PM,04:45 PM,21.9%
Winter 2027,235,5,"Dougal, Duane",67,MARB,130,72,1,"T,Th",09:30 AM,10:45 AM,93.1%
Winter 2027,236,1,Barker,80,JKB,3108,306,2,"M,W,F",10:00 AM,10:50 AM,26.1%
Winter 2027,236,2,Barker,80,JKB,3108,306,2,"M,W,F",12:00 PM,12:50 PM,26.1%
Winter 2027,236,3,Barker,79,JKB,3108,306,2,"M,W,F",09:00 AM,09:50 AM,25.8%
Winter 2027,240,1,Jensen,75,CB,377,342,3,"M,W",11:00 AM,12:15 PM,21.9%
Winter 2027,240,2,Rodham,75,JKB,1102,285,2,"M,W",03:30 PM,04:45 PM,26.3%
Winter 2027,240,3,Rodham,75,JKB,1102,285,2,"M,W",12:30 PM,01:45 PM,26.3%
Winter 2027,252A,1,Ng,34,TMCB,134,42,1,"T,Th",03:30 PM,04:45 PM,81.0%
Winter 2027,252A,2,Ng,33,JKB,3108,306,2,"T,Th",12:30 PM,01:45 PM,10.8%
Winter 2027,256,1,Hughes,38,MARB,130,72,1,"M,W",03:30 PM,04:45 PM,52.8%
Winter 2027,260,1,Jensen,30,TMCB,134,42,1,"T,Th",02:00 PM,03:15 PM,71.4%
Winter 2027,260,2,Jensen,30,TMCB,120,41,1,"T,Th",12:30 PM,01:45 PM,73.2%
Winter 2027,270,1,Snell,46,MARB,222,269,4,"M,W",03:30 PM,04:45 PM,17.1%
Winter 2027,270,2,Snell,46,CB,377,342,3,"M,W",09:30 AM,10:45 AM,13.5%
Winter 2027,301R,1,Bean,6,MARB,130,72,1,"T,Th",02:00 PM,03:15 PM,8.3%
Winter 2027,301R,2,MJ,5,TMCB,120,41,1,"T,Th",03:30 PM,04:45 PM,12.2%
Winter 2027,301R,3,Stephens,5,JKB,3108,306,2,"M,W",02:00 PM,03:15 PM,1.6%
Winter 2027,312,1,Bean,30,TMCB,120,41,1,"T,Th",09:30 AM,10:45 AM,73.2%
Winter 2027,312,2,Grimsman,30,JKB,1102,285,2,"T,Th",03:30 PM,04:45 PM,10.5%
Winter 2027,312,3,Grimsman,30,HBLL,3718,59,1,"T,Th",02:00 PM,03:15 PM,50.8%
Winter 2027,324,1,Deccio,53,MARB,130,72,1,"M,W,F",09:00 AM,09:50 AM,73.6%
Winter 2027,324,2,Deccio,53,MARB,130,72,1,"M,W,F",10:00 AM,10:50 AM,73.6%
Winter 2027,324,3,"Dougal, Duane",53,HBLL,3718,59,1,"M,W,F",11:00 AM,11:50 AM,89.8%
Winter 2027,329,1,Jensen,100,CB,377,342,3,"M,W",02:00 PM,03:15 PM,29.2%
Winter 2027,330,1,Germane,25,TMCB,120,41,1,"M,W",12:30 PM,01:45 PM,61.0%
Winter 2027,340,1,Wilkerson,47,JKB,1102,285,2,"M,W",02:00 PM,03:15 PM,16.5%
Winter 2027,340,2,Wilkerson,47,CB,377,342,3,"M,W",12:30 PM,01:45 PM,13.7%
Winter 2027,340,3,Wilkerson,47,HBLL,3718,59,1,"T,Th",03:30 PM,04:45 PM,79.7%
Winter 2027,393,1,Reynolds,48,HBLL,3718,59,1,"M,W",12:30 PM,01:45 PM,81.4%
Winter 2027,393,2,Reynolds,48,HBLL,3718,59,1,"M,W",02:00 PM,03:15 PM,81.4%
Winter 2027,401R,1,Bean,19,TMCB,134,42,1,"M,W",02:00 PM,03:15 PM,45.2%
Winter 2027,401R,2,Toborg,19,TMCB,120,41,1,"M,W",03:30 PM,04:45 PM,46.3%
Winter 2027,404,1,"Gates, Darin",43,HBLL,3718,59,1,"T,Th",09:30 AM,10:45 AM,72.9%
Winter 2027,404,2,"Gates, Darin",42,TMCB,134,42,1,"M,W",12:30 PM,01:45 PM,100.0%
Winter 2027,405,1,"Earnshaw, Craig",50,HBLL,3718,59,1,"M,W",03:30 PM,04:45 PM,84.7%
Winter 2027,428,1,"Webster, Bruce",69,MARB,130,72,1,F,02:00 PM,04:30 PM,95.8%
Winter 2027,452,1,Jenkins,45,MARB,130,72,1,"M,W",11:00 AM,12:15 PM,62.5%
Winter 2027,452,2,Reynolds,45,CB,377,342,3,"M,W",03:30 PM,04:45 PM,13.2%
Winter 2027,455,1,Egbert,30,CB,377,342,3,"T,Th",02:00 PM,03:15 PM,8.8%
