Semester,Course,Section,Instructor,Enrollment,Building,Room,Capacity,Priority,Days,Start Time,End Time,Utilization %
Winter 2027,110,1,Bean,200,MARB,222,269,4,"M,W",12:30 PM,01:45 PM,74.3%
Winter 2027,110,2,"Dougal, Duane",30,MARB,222,269,4,"T,Th",12:30 PM,01:45 PM,11.2%
Winter 2027,111,1,Richardson,200,CB,377,342,3,"M,W",12:30 PM,01:45 PM,58.5%
Winter 2027,111,2,Stephens,200,CB,377,342,3,"M,W",09:30 AM,10:45 AM,58.5%
Winter 2027,111,4,"Giles, Steven",30,MARB,222,269,4,"M,W",02:00 PM,03:15 PM,11.2%
Winter 2027,235,2,MJ,30,CB,377,342,3,"M,W",02:00 PM,03:15 PM,8.8%
Winter 2027,235,3,MJ,30,MARB,222,269,4,"T,Th",09:30 AM,10:45 AM,11.2%
Winter 2027,235,4,Stephens,180,CB,377,342,3,"T,Th",12:30 PM,01:45 PM,52.6%
Winter 2027,235,5,"Dougal, Duane",30,MARB,222,269,4,"M,W",11:00 AM,12:15 PM,11.2%
Winter 2027,240,1,Rodham,30,CB,377,342,3,"T,Th",09:30 AM,10:45 AM,8.8%
Winter 2027,240,3,Wilkerson,195,CB,377,342,3,"M,W",11:00 AM,12:15 PM,57.0%
