Semester,Course,Section,Instructor,Enrollment,Building,Room,Capacity,Priority,Days,Start Time,End Time,Utilization %
Fall 2026,110,1,Bean,200,TMCB,1170,203,1,"T,Th",03:30 PM,04:45 PM,98.5%
Fall 2026,110,2,Page,200,JKB,3108,306,2,"M,W",09:30 AM,10:45 AM,65.4%
Fall 2026,110,3,"Dougal, Duane",30,TMCB,1170,203,1,"T,Th",12:30 PM,01:45 PM,14.8%
Fall 2026,110,4,"Dougal, Duane",30,TMCB,1170,203,1,"T,Th",02:00 PM,03:15 PM,14.8%
Fall 2026,110,6,"Jones, Angela",30,TMCB,1170,203,1,"T,Th",09:30 AM,10:45 AM,14.8%
Fall 2026,110E,1,"Hansen, Bruce",0,TMCB,120,41,1,"T,Th",06:30 PM,07:45 PM,0.0%
Fall 2026,111,1,Reynolds,90,JKB,3108,306,2,"M,W",12:30 PM,01:45 PM,29.4%
Fall 2026,111,2,Reynolds,110,JKB,3108,306,2,"T,Th",09:30 AM,10:45 AM,35.9%
Fall 2026,111,3,Richardson,200,TMCB,1170,203,1,"M,W",03:30 PM,04:45 PM,98.5%
Fall 2026,111,5,"Giles, Steven",30,TMCB,1170,203,1,"M,W",09:30 AM,10:45 AM,14.8%
Fall 2026,111E,1,"Cluff, Andrew",0,TMCB,134,42,1,"T,Th",06:30 PM,07:45 PM,0.0%
Fall 2026,191/291T,1,"Team:Zappala/Dougal, Duane",170,TMCB,1170,203,1,F,03:00 PM,03:50 PM,83.7%
Fall 2026,224A,1,Barker,60,ESC,C215,170,2,"M,W,F",10:00 AM,10:50 AM,35.3%
Fall 2026,224A,2,Barker,41,ESC,C215,170,2,"M,W,F",12:00 PM,12:50 PM,24.1%
Fall 2026,235,1,Crandall,30,JKB,3108,306,2,"M,W",11:00 AM,12:15 PM,9.8%
Fall 2026,235,2,Crandall,30,JKB,1102,285,2,"M,W",09:30 AM,10:45 AM,10.5%
Fall 2026,235,3,Crandall,30,JKB,3108,306,2,"M,W",03:30 PM,04:45 PM,9.8%
Fall 2026,235,5,Stephens,180,JKB,1102,285,2,"T,Th",12:30 PM,01:45 PM,63.2%
Fall 2026,235E,1,"Barton, Dylan",0,TMCB,134,42,1,"T,Th",05:00 PM,06:15 PM,0.0%
Fall 2026,236,1,Goodrich,30,TMCB,1170,203,1,"M,W,F",11:00 AM,11:50 AM,14.8%
Fall 2026,236,2,Goodrich,30,TMCB,1170,203,1,"M,W,F",12:00 PM,12:50 PM,14.8%
Fall 2026,236,3,Goodrich,30,TMCB,1170,203,1,"M,W,F",01:00 PM,01:50 PM,14.8%
Fall 2026,236,4,Mercer,169,TMCB,1170,203,1,"M,W,F",02:00 PM,02:50 PM,83.3%
