Semester,Course,Section,Instructor,Enrollment,Building,Room,Capacity,Days,Start Time,End Time,Utilization %
Fall 2026,110L,1,110Lab,1,MARB,130,72,"M,W",02:00 PM,03:15 PM,1.4%
Fall 2026,110L,2,110Lab,1,MCKB,26,30,"T,Th",09:30 AM,10:45 AM,3.3%
Fall 2026,110L,3,110Lab,1,MCKB,26,30,"T,Th",02:00 PM,03:15 PM,3.3%
Fall 2026,110L,4,110Lab,1,HBLL,3718,59,"T,Th",12:30 PM,01:45 PM,1.7%
Fall 2026,110L,5,110Lab,1,TMCB,134,42,"T,Th",03:30 PM,04:45 PM,2.4%
Fall 2026,110L,6,110Lab,1,TMCB,120,41,"M,W",11:00 AM,12:15 PM,2.4%
Fall 2026,110L,7,110Lab,1,TMCB,134,42,"T,Th",09:30 AM,10:45 AM,2.4%
Fall 2026,110L,8,110Lab,1,TMCB,120,41,"T,Th",12:30 PM,01:45 PM,2.4%
Fall 2026,110L,9,110Lab,1,TMCB,120,41,"T,Th",09:30 AM,10:45 AM,2.4%
Fall 2026,110L,10,110Lab,1,MCKB,26,30,"T,Th",12:30 PM,01:45 PM,3.3%
Fall 2026,110L,11,110Lab,1,MCKB,26,30,"T,Th",03:30 PM,04:45 PM,3.3%
Fall 2026,110L,12,110Lab,1,TMCB,134,42,"T,Th",02:00 PM,03:15 PM,2.4%
Fall 2026,110L,13,110Lab,1,MARB,130,72,"T,Th",09:30 AM,10:45 AM,1.4%
Fall 2026,111L,1,111Lab,1,MARB,130,72,"T,Th",12:30 PM,01:45 PM,1.4%
Fall 2026,111L,2,111Lab,1,MARB,130,72,"T,Th",03:30 PM,04:45 PM,1.4%
Fall 2026,111L,3,111Lab,1,HBLL,3718,59,"M,W",12:30 PM,01:45 PM,1.7%
Fall 2026,111L,4,111Lab,1,TMCB,134,42,"M,W",02:00 PM,03:15 PM,2.4%
Fall 2026,111L,5,111Lab,1,TMCB,120,41,"T,Th",02:00 PM,03:15 PM,2.4%
Fall 2026,111L,6,111Lab,1,TMCB,134,42,"M,W",11:00 AM,12:15 PM,2.4%
Fall 2026,111L,7,111Lab,1,HBLL,3718,59,"T,Th",03:30 PM,04:45 PM,1.7%
Fall 2026,111L,8,111Lab,1,TMCB,120,41,"M,W",09:30 AM,10:45 AM,2.4%
Fall 2026,111L,9,111Lab,1,TMCB,120,41,"M,W",12:30 PM,01:45 PM,2.4%
Fall 2026,111L,10,111Lab,1,TMCB,120,41,"M,W",03:30 PM,04:45 PM,2.4%
Fall 2026,111L,11,111Lab,1,TMCB,134,42,"M,W",12:30 PM,01:45 PM,2.4%
Fall 2026,111L,12,111Lab,1,MARB,130,72,"T,Th",02:00 PM,03:15 PM,1.4%
Fall 2026,224L,1,224Lab,5,MARB,130,72,"M,W",11:00 AM,12:15 PM,6.9%
Fall 2026,224L,2,224Lab,1,MCKB,26,30,"M,W",02:00 PM,03:15 PM,3.3%
Fall 2026,224L,3,224Lab,1,HBLL,3718,59,"M,W",11:00 AM,12:15 PM,1.7%
Fall 2026,224L,4,224Lab,1,TMCB,120,41,"T,Th",03:30 PM,04:45 PM,2.4%
Fall 2026,224L,5,224Lab,1,HBLL,3718,59,"T,Th",09:30 AM,10:45 AM,1.7%
Fall 2026,224L,6,224Lab,1,MCKB,26,30,"M,W",11:00 AM,12:15 PM,3.3%
Fall 2026,470,1,Archibald,64,JKB,1102,285,"M,W",09:30 AM,10:45 AM,22.5%
Fall 2026,670,1,Archibald,17,JKB,3108,306,"M,W",11:00 AM,12:15 PM,5.6%
Fall 2026,224A,1,Barker,30,TMCB,1170,203,"M,W,F",04:00 PM,04:50 PM,14.8%
Fall 2026,224A,2,Barker,71,MARB,130,72,"M,W,F",09:00 AM,09:50 AM,98.6%
Fall 2026,252B,1,Barker,30,TMCB,1170,203,"M,W,F",03:00 PM,03:50 PM,14.8%
Fall 2026,252B,2,Barker,51,TMCB,1170,203,"M,W,F",11:00 AM,11:50 AM,25.1%
Fall 2026,235E,1,"Barton, Dylan",30,TMCB,134,42,"T,Th",06:30 PM,07:45 PM,71.4%
Fall 2026,110,1,Bean,285,JKB,1102,285,"T,Th",09:30 AM,10:45 AM,100.0%
Fall 2026,301R,1,Bean,5,JKB,1102,285,"M,W",02:00 PM,03:15 PM,1.8%
Fall 2026,401R,1,Bean,16,JKB,1102,285,"M,W",03:30 PM,04:45 PM,5.6%
