Semester,Course,Section,Instructor,Enrollment,Building,Room,Capacity,Days,Start Time,End Time,Utilization %
Summer 2027,110,1,"Dougal, Duane",24,TMCB,136,40,"M,T,W,Th",09:30 AM,10:45 AM,6000.0%
Summer 2027,110L,1,110Lab,2,TMCB,136,40,"T,Th",12:30 PM,01:45 PM,5.0%
Summer 2027,111L,1,Lab,20,TMCB,136,40,"M,W",02:00 PM,03:15 PM,50.0%
Summer 2027,111L,2,Lab,20,TMCB,136,40,"M,W",12:30 PM,01:45 PM,50.0%
Summer 2027,111L,3,Lab,20,TMCB,136,40,"M,W",09:30 AM,10:45 AM,50.0%
Summer 2027,224A,1,Barker,8,JFSB,B037,120,"M,W,F",09:00 AM,09:50 AM,6.7%
Summer 2027,224L,1,Lab,20,TMCB,136,40,"T,Th",02:00 PM,03:15 PM,50.0%
Summer 2027,224L,2,Lab,20,TMCB,136,40,"M,W",11:00 AM,12:15 PM,50.0%
Summer 2027,235,1,"Dougal, Duane",23,TMCB,136,40,"M,T,W,Th",01:00 PM,02:50 PM,5750.0%
Summer 2027,236,1,Barker,41,JKB,2111,85,"M,W,F",02:00 PM,03:50 PM,4823.5%
Summer 2027,404,1,"Gates, Darin",10,JFSB,B037,120,"T,Th",01:00 PM,03:50 PM,833.3%
