Semester,Course,Section,Instructor,Enrollment,Building,Room,Capacity,Priority,Days,Start Time,End Time,Utilization %
Winter 2027,224B,1,Archibald,24,CB,377,342,3,"T,Th",03:30 PM,04:45 PM,7.0%
Winter 2027,224B,2,Archibald,59,CB,377,342,3,"T,Th",02:00 PM,03:15 PM,17.3%
Winter 2027,236,1,Barker,78,CB,381,10,100,"M,W,F",10:00 AM,10:50 AM,780.0%
Winter 2027,236,2,Barker,66,JFSB,B092,125,2,"M,W,F",02:00 PM,02:50 PM,52.8%
Winter 2027,236,3,Barker,95,JFSB,B092,125,2,"M,W,F",11:00 AM,11:50 AM,76.0%
Winter 2027,235E,1,"Barton, Dylan",0,TMCB,134,42,1,"T,Th",05:00 PM,06:15 PM,0.0%
Winter 2027,110,1,Bean,36,TMCB,1170,203,1,"M,W",08:00 AM,09:15 AM,17.7%
Winter 2027,110,1,Bean,200,JKB,3108,306,2,"M,W",11:00 AM,12:15 PM,65.4%
Winter 2027,110,1,Bean,200,MARB,222,269,4,"T,Th",02:00 PM,03:15 PM,74.3%
Winter 2027,301R,1,Bean,0,MARB,130,72,1,"M,W",12:30 PM,01:45 PM,0.0%
Winter 2027,312,1,Bean,31,HBLL,3718,59,1,"T,Th",03:30 PM,04:45 PM,52.5%
Winter 2027,401R,1,Bean,6,TMCB,134,42,1,"M,W",01:00 PM,02:15 PM,14.3%
Winter 2027,465,1,"Clift, Fred",47,JKB,1102,285,2,"T,Th",03:30 PM,04:45 PM,16.5%
Winter 2027,111E,1,"Cluff, Andrew",13,HBLL,3718,59,1,"M,W",05:30 PM,06:45 PM,22.0%
Winter 2027,324,1,Deccio,55,JKB,3108,306,2,"M,W,F",10:00 AM,10:50 AM,18.0%
Winter 2027,324,2,Deccio,74,JKB,3108,306,2,"M,W,F",09:00 AM,09:50 AM,24.2%
Winter 2027,110,2,"Dougal, Duane",41,JSB,114,51,100,"M,W",10:00 AM,11:15 AM,80.4%
Winter 2027,110,2,"Dougal, Duane",30,JKB,1102,285,2,"T,Th",02:00 PM,03:15 PM,10.5%
Winter 2027,110,2,"Dougal, Duane",30,MARB,222,269,4,"M,W",11:00 AM,12:15 PM,11.2%
Winter 2027,235,5,"Dougal, Duane",30,JKB,1102,285,2,"M,W",02:00 PM,03:15 PM,10.5%
Winter 2027,235,5,"Dougal, Duane",30,MARB,222,269,4,"T,Th",12:30 PM,01:45 PM,11.2%
Winter 2027,324,3,"Dougal, Duane",30,JKB,1102,285,2,"M,W,F",11:00 AM,11:50 AM,10.5%
Winter 2027,405,1,"Earnshaw, Craig",27,TMCB,1170,203,1,"T,Th",12:30 PM,01:45 PM,13.3%
Winter 2027,455,1,Egbert,30,TMCB,134,42,1,"T,Th",09:30 AM,10:45 AM,71.4%
Winter 2027,655,1,Egbert,8,TMCB,134,42,1,"T,Th",08:00 AM,09:15 AM,19.0%
Winter 2027,493,1,Farrell,30,MARB,130,72,1,"T,Th",09:30 AM,10:45 AM,41.7%
Winter 2027,404,1,"Gates, Darin",32,TNRB,220,42,100,"T,Th",03:30 PM,04:45 PM,76.2%
Winter 2027,404,2,"Gates, Darin",53,JKB,3106,92,2,"T,Th",12:30 PM,01:45 PM,57.6%
Winter 2027,330,1,Germane,25,TMCB,120,41,1,"T,Th",03:30 PM,04:45 PM,61.0%
Winter 2027,630,1,Germane,30,HBLL,3718,59,1,"T,Th",02:00 PM,03:15 PM,50.8%
Winter 2027,111,4,"Giles, Steven",10,HBLL,3718,59,1,"M,W",08:00 AM,09:15 AM,16.9%
Winter 2027,111,4,"Giles, Steven",30,TMCB,1170,203,1,"T,Th",02:00 PM,03:15 PM,14.8%
Winter 2027,111,4,"Giles, Steven",30,MARB,222,269,4,"M,W",12:30 PM,01:45 PM,11.2%
Winter 2027,575,1,Goodrich,12,MCKB,230,22,100,"T,Th",02:00 PM,03:15 PM,54.5%
Winter 2027,312,2,Grimsman,35,TMCB,1170,203,1,"T,Th",08:00 AM,09:15 AM,17.2%
Winter 2027,312,3,Grimsman,72,TMCB,1170,203,1,"T,Th",09:30 AM,10:45 AM,35.5%
Winter 2027,110E,1,"Hansen, Bruce",0,TMCB,120,41,1,"T,Th",05:00 PM,06:15 PM,0.0%
Winter 2027,256,1,Hughes,32,KMBL,270,42,100,"M,W",09:00 AM,09:50 AM,76.2%
Winter 2027,556,1,Hughes,16,HBLL,3718,59,1,"M,W",09:30 AM,10:45 AM,27.1%
Winter 2027,452,1,Jenkins,26,MARB,130,72,1,"M,W",08:00 AM,09:15 AM,36.1%
Winter 2027,474,1,Jenkins,64,JFSB,B092,125,2,"M,W",11:00 AM,12:15 PM,51.2%
Winter 2027,677,1,Jenkins,26,JKB,1120,36,100,"T,Th",03:30 PM,04:45 PM,72.2%
Winter 2027,260,1,Jensen,53,JFSB,B092,125,2,"T,Th",08:00 AM,09:15 AM,42.4%
Winter 2027,260,2,Jensen,68,TMCB,111,77,4,"T,Th",09:30 AM,10:45 AM,88.3%
Winter 2027,329,1,Jensen,100,BNSN,W112,110,100,"T,Th",02:00 PM,03:15 PM,90.9%
Winter 2027,110,4,"Jones, Angela",101,TMCB,1170,203,1,"M,W",09:30 AM,10:45 AM,49.8%
Winter 2027,110,4,"Jones, Angela",30,JKB,1102,285,2,"T,Th",09:30 AM,10:45 AM,10.5%
Winter 2027,345E,1,"Judd, Glenn",0,TMCB,120,41,1,"T,Th",06:30 PM,07:45 PM,0.0%
Winter 2027,474,2,Killian,30,JFSB,B092,125,2,"M,W",02:00 PM,03:15 PM,24.0%
Winter 2027,235,2,MJ,30,JKB,3108,306,2,"T,Th",02:00 PM,03:15 PM,9.8%
Winter 2027,235,2,MJ,30,CB,377,342,3,"M,W",11:00 AM,12:15 PM,8.8%
Winter 2027,235,3,MJ,30,JKB,3108,306,2,"M,W",12:30 PM,01:45 PM,9.8%
Winter 2027,235,3,MJ,30,MARB,222,269,4,"T,Th",09:30 AM,10:45 AM,11.2%
Winter 2027,301R,2,MJ,0,MARB,130,72,1,"M,W",02:00 PM,03:15 PM,0.0%
Winter 2027,224A,1,Mercer,33,TMCB,120,41,1,"M,W,F",01:00 PM,01:50 PM,80.5%
Winter 2027,486,1,Mercer,17,TMCB,120,41,1,"M,W,F",02:00 PM,02:50 PM,41.5%
Winter 2027,704R,1,Morse,10,MARB,130,72,1,"T,Th",12:30 PM,01:45 PM,13.9%
Winter 2027,252A,1,Ng,39,TMCB,134,42,1,"T,Th",02:00 PM,03:15 PM,92.9%
Winter 2027,252A,2,Ng,28,TMCB,134,42,1,"T,Th",03:30 PM,04:45 PM,66.7%
Winter 2027,393,1,Reynolds,57,HBLL,3718,59,1,"M,W",12:30 PM,01:45 PM,96.6%
Winter 2027,393,2,Reynolds,39,HBLL,3718,59,1,"M,W",02:00 PM,03:15 PM,66.1%
Winter 2027,452,2,Reynolds,64,MARB,130,72,1,"M,W",09:30 AM,10:45 AM,88.9%
Winter 2027,111,1,Richardson,58,MARB,222,269,4,"M,W",09:30 AM,10:45 AM,21.6%
Winter 2027,111,1,Richardson,200,JKB,1102,285,2,"M,W",12:30 PM,01:45 PM,70.2%
Winter 2027,111,1,Richardson,200,CB,377,342,3,"T,Th",12:30 PM,01:45 PM,58.5%
Winter 2027,601R,1,Richardson,10,TMCB,299,20,100,"M,W",02:00 PM,03:15 PM,50.0%
Winter 2027,180,1,Ringger,0,CB,381,10,100,"T,Th",09:30 AM,10:45 AM,0.0%
Winter 2027,180,2,Ringger,0,JKB,1102,285,2,"T,Th",12:30 PM,01:45 PM,0.0%
Winter 2027,240,1,Rodham,56,MARB,130,72,1,"M,W",03:30 PM,04:45 PM,77.8%
Winter 2027,240,1,Rodham,30,JKB,3108,306,2,"T,Th",09:30 AM,10:45 AM,9.8%
