Semester,Course,Section,Instructor,Enrollment,Building,Room,Capacity,Priority,Days,Start Time,End Time,Utilization %
Fall 2026,110,1,Bean,100.4,JFSB,B037,120,2,"M,W",11:00 AM,12:15 PM,83.7%
Fall 2026,110,2,Page,100.4,JFSB,B037,120,2,"M,W",12:30 PM,01:45 PM,83.7%
Fall 2026,110,3,Angela,100.4,JFSB,B037,120,2,"T,Th",09:30 AM,10:45 AM,83.7%
Fall 2026,110,4,Duane Dougal,100.4,JFSB,B037,120,2,"M,W",02:00 PM,03:15 PM,83.7%
Fall 2026,110,5,Bruce Hansen,100.4,JFSB,B037,120,2,"T,Th",03:30 PM,04:45 PM,83.7%
Fall 2026,111,1,Richardson,86.0,JKB,3106,92,2,"M,W",09:30 AM,10:45 AM,93.5%
Fall 2026,111,2,Reynolds,86.0,JKB,3106,92,2,"T,Th",03:30 PM,04:45 PM,93.5%
Fall 2026,111,3,Reynolds,86.0,JKB,3106,92,2,"T,Th",09:30 AM,10:45 AM,93.5%
Fall 2026,111,4,Andrew Cluff,86.0,JKB,3106,92,2,"T,Th",12:30 PM,01:45 PM,93.5%
Fall 2026,111,5,Steven Giles,86.0,JKB,3106,92,2,"M,W",12:30 PM,01:45 PM,93.5%
Fall 2026,180,1,Tim Kapp,117.0,JFSB,B037,120,2,"M,W",09:30 AM,10:45 AM,97.5%
Fall 2026,191/291,1,Zappala /Dougal,170.0,ESC,C215,170,2,M,09:00 AM,09:50 AM,100.0%
Fall 2026,224,1,Barker,50.5,TMCB,135,69,2,"M,W,F",09:00 AM,09:50 AM,73.2%
Fall 2026,224,2,Barker,50.5,TMCB,135,69,2,"M,W,F",11:00 AM,11:50 AM,73.2%
Fall 2026,235,1,Crandall,90.0,JKB,3106,92,2,"M,W",11:00 AM,12:15 PM,97.8%
Fall 2026,235,2,Crandall,90.0,JKB,3106,92,2,"M,W",03:30 PM,04:45 PM,97.8%
Fall 2026,235,3,Crandall,90.0,JKB,3106,92,2,"T,Th",02:00 PM,03:15 PM,97.8%
Fall 2026,236,1,Goodrich,64.75,TMCB,135,69,2,"M,W,F",12:00 PM,12:50 PM,93.8%
Fall 2026,236,2,Goodrich,64.75,TMCB,135,69,2,"M,W,F",04:00 PM,04:50 PM,93.8%
Fall 2026,236,3,Goodrich,64.75,TMCB,135,69,2,"M,W,F",02:00 PM,02:50 PM,93.8%
Fall 2026,236,4,Mercer,64.75,TMCB,135,69,2,"M,W,F",03:00 PM,03:50 PM,93.8%
Fall 2026,240,1,Rodham,40.25,TMCB,104,42,2,"M,W",09:30 AM,10:45 AM,95.8%
Fall 2026,240,2,Jensen,40.25,TMCB,120,41,1,"M,W",11:00 AM,12:15 PM,98.2%
Fall 2026,240,3,Jensen,40.25,TMCB,120,41,1,"M,W",12:30 PM,01:45 PM,98.2%
